ID,Sex,HostStrain,Host,Treatment,Round,Line,TCID50,Copy Number,Indel count.3pct,Average_Length_Sample.3pct,Average_Frequency_Sample.3pct
8538,M,BALB/C,BALBM,STOCK,STOCK,,49824,,,,
8539,M,BALB/C,BALBM,STOCK,STOCK,D,83209,,,,
8541,M,BALB/C,BALBM,STOCK,STOCK,C,91726,,,,
8542,M,BALB/C,BALBM,STOCK,STOCK,A,200015,,,,
8543,M,BALB/C,BALBM,STOCK,STOCK,,1861,,,,
8544,M,BALB/C,BALBM,STOCK,STOCK,,62117,,,,
8545,M,BALB/C,BALBM,STOCK,STOCK,,0,,,,
8546,M,BALB/C,BALBM,STOCK,STOCK,,44707,,,,
8547,M,BALB/C,BALBM,STOCK,STOCK,B,111464,,,,
8594,F,BALB/C,BALBF,STOCK,STOCK,,23442,,,,
8595,F,BALB/C,BALBF,STOCK,STOCK,D,34616,,,,
8596,F,BALB/C,BALBF,STOCK,STOCK,B,62117,,,,
8597,F,BALB/C,BALBF,STOCK,STOCK,,45340,,,,
8598,F,BALB/C,BALBF,STOCK,STOCK,A,164596,,,,
8599,F,BALB/C,BALBF,STOCK,STOCK,,18706,,,,
8600,F,BALB/C,BALBF,STOCK,STOCK,C,57739,,,,
8601,F,BALB/C,BALBF,STOCK,STOCK,,19291,,,,
8602,F,BALB/C,BALBF,STOCK,STOCK,,19291,,,,
8603,F,BALB/C,BALBF,STOCK,STOCK,,25841,,,,
8235,M,C57BL/6,BL6M,STOCK,STOCK,C,145993,,,,
8236,M,C57BL/6,BL6M,STOCK,STOCK,,34616,,,,
8237,M,C57BL/6,BL6M,STOCK,STOCK,,18706,,,,
8238,M,C57BL/6,BL6M,STOCK,STOCK,,322,,,,
8244,M,C57BL/6,BL6M,STOCK,STOCK,B,267934,,,,
8245,M,C57BL/6,BL6M,STOCK,STOCK,D,91726,,,,
8246,M,C57BL/6,BL6M,STOCK,STOCK,,4930,,,,
8278,M,C57BL/6,BL6M,STOCK,STOCK,A,782639,,,,
8279,M,C57BL/6,BL6M,STOCK,STOCK,,1804,,,,
8280,M,C57BL/6,BL6M,STOCK,STOCK,,62117,,,,
8321,F,C57BL/6,BL6F,STOCK,STOCK,,75483,,,,
8322,F,C57BL/6,BL6F,STOCK,STOCK,,1404396,,,,
8323,F,C57BL/6,BL6F,STOCK,STOCK,,233285,,,,
8324,F,C57BL/6,BL6F,STOCK,STOCK,,13884,,,,
8325,F,C57BL/6,BL6F,STOCK,STOCK,C,243056,,,,
8326,F,C57BL/6,BL6F,STOCK,STOCK,B,463537,,,,
8327,F,C57BL/6,BL6F,STOCK,STOCK,A,2073838,,,,
8311,F,C57BL/6,BL6F,STOCK,STOCK,,111464,,,,
8312,F,C57BL/6,BL6F,STOCK,STOCK,D,200015,,,,
8313,F,C57BL/6,BL6F,STOCK,STOCK,,75483,,,,
9499,M,BALB/C,BALBM,4X,R10,ABCD,2073838,,,,
9500,M,BALB/C,BALBM,1X,R10,C,644049,1.35E+08,,,
9515,M,BALB/C,BALBM,1X,R10,A,1155705,3.59E+08,3,14.33333333,0.190776163
9516,M,BALB/C,BALBM,2X,R10,AB,530001,1.10E+08,7,9.285714286,0.043001678
9517,M,BALB/C,BALBM,4X,R10,ABCD,2520099,2.48E+08,1,11,0.031686955
9518,M,BALB/C,BALBM,1X,R10,B,530001,1.69E+07,9,17.22222222,0.079192735
9519,M,BALB/C,BALBM,2X,R10,AB,644049,,,,
9534,M,BALB/C,BALBM,2X,R10,CD,358915,,,,
9535,M,BALB/C,BALBM,4X,R10,ABCD,1155705,,,,
9536,M,BALB/C,BALBM,1X,R10,D,1155705,2.73E+08,1,35,0.06957094
9537,M,BALB/C,BALBM,2X,R10,CD,530001,3.15E+08,,,
9538,M,BALB/C,BALBM,4X,R10,ABCD,1075037,,,,
9768,F,BALB/C,BALBF,1X,R10,A,234420,3.79E+06,,,
9769,F,BALB/C,BALBF,2X,R10,AB,3589146,1.67E+08,4,5.25,0.083771805
9770,F,BALB/C,BALBF,4X,R10,ABCD,4700982,6.68E+08,,,
9773,F,BALB/C,BALBF,1X,R10,B,1645965,2.45E+08,4,5.25,0.080490079
9774,F,BALB/C,BALBF,2X,R10,AB,621165,,,,
9775,F,BALB/C,BALBF,4X,R10,ABCD,6440492,,,,
9776,F,BALB/C,BALBF,1X,R10,D,192909,1.80E+06,,,
9777,F,BALB/C,BALBF,2X,R10,CD,882194,,,,
9783,F,BALB/C,BALBF,1X,R10,C,1459932,1.21E+07,,,
9785,F,BALB/C,BALBF,4X,R10,ABCD,4654231,6.50E+08,2,8,0.161338769
9786,F,BALB/C,BALBF,2X,R10,CD,2430557,4.22E+08,2,14.5,0.099910729
9790,F,BALB/C,BALBF,4X,R10,ABCD,8627461,,,,
10009,M,C57BL/6,BL6M,4X,R10,ABCD,3220,7.32E+07,6,15.66666667,0.118890742
10220,F,C57BL/6,BL6F,2X,R10,CD,8532,2.29E+07,2,20.5,0.24715866
10221,F,C57BL/6,BL6F,4X,R10,ABCD,192909,,,,
10299,M,C57BL/6,BL6M,1X,R10,A,500,2.72E+07,15,16.53333333,0.08564629
10300,M,C57BL/6,BL6M,2X,R10,AB,3220,1.41E+08,12,23.58333333,0.072243482
10302,M,C57BL/6,BL6M,1X,R10,B,21534,1.27E+07,5,17.4,0.061748432
10304,M,C57BL/6,BL6M,1X,R10,C,5778,4.59E+07,4,33.25,0.044279915
10305,M,C57BL/6,BL6M,2X,R10,CD,2181,3.35E+07,9,30,0.062265827
10307,M,C57BL/6,BL6M,1X,R10,D,500,4.79E+07,7,24.85714286,0.131531065
10309,F,C57BL/6,BL6F,1X,R10,A,17294,6.52E+07,3,11.66666667,0.076216928
10310,F,C57BL/6,BL6F,2X,R10,AB,53298,,,,
10311,F,C57BL/6,BL6F,4X,R10,ABCD,577386,1.01E+09,4,54.5,0.046581802
10312,F,C57BL/6,BL6F,1X,R10,B,832092,3.04E+08,4,6.5,0.062767669
10313,F,C57BL/6,BL6F,2X,R10,AB,59909,4.77E+07,8,18.125,0.102865293
10314,F,C57BL/6,BL6F,1X,R10,C,107504,1.93E+08,9,16.33333333,0.058279979
10315,F,C57BL/6,BL6F,2X,R10,CD,3220,,,,
10316,F,C57BL/6,BL6F,4X,R10,ABCD,107504,,,,
10317,F,C57BL/6,BL6F,1X,R10,D,18605,4.77E+07,8,14.5,0.047628709
10318,F,C57BL/6,BL6F,4X,R10,ABCD,621165,1.08E+09,,,
100005,M,C57BL/6,BL6M,2X,R10,AB,1794,,,,
100007,M,C57BL/6,BL6M,2X,R10,CD,1,,,,
100008,M,C57BL/6,BL6M,4X,R10,ABCD,1,,,,
100009,M,C57BL/6,BL6M,4X,R10,ABCD,1000,,,,
100010,M,C57BL/6,BL6M,4X,R10,ABCD,1477,,,,
